monthID	sourceTypeID	monthAdjustment
99	11	1
2	99	1
3	11	-1
4	11	1
5	11	1
6	11	1
7	11	1
8	11	1
9	11	1
10	11	1
11	11	1
12	11	1
1	21	1
2	21	1
3	21	1
4	21	1
5	21	1
6	21	1
7	21	1
8	21	1
9	21	1
10	21	1
11	21	1
12	21	1
1	31	1
2	31	1
3	31	1
4	31	1
5	31	1
6	31	1
7	31	1
8	31	1
9	31	1
10	31	1
11	31	1
12	31	1
1	32	1
2	32	1
3	32	1
4	32	1
5	32	1
6	32	1
7	32	1
8	32	1
9	32	1
10	32	1
11	32	1
12	32	1
1	41	1
2	41	1
3	41	1
4	41	1
5	41	1
6	41	1
7	41	1
8	41	1
9	41	1
10	41	1
11	41	1
12	41	1
1	42	1
2	42	1
3	42	1
4	42	1
5	42	1
6	42	1
7	42	1
8	42	1
9	42	1
10	42	1
11	42	1
12	42	1
1	43	1
2	43	1
3	43	1
4	43	1
5	43	1
6	43	1
7	43	1
8	43	1
9	43	1
10	43	1
11	43	1
12	43	1
1	51	1
2	51	1
3	51	1
4	51	1
5	51	1
6	51	1
7	51	1
8	51	1
9	51	1
10	51	1
11	51	1
12	51	1
1	52	1
2	52	1
3	52	1
4	52	1
5	52	1
6	52	1
7	52	1
8	52	1
9	52	1
10	52	1
11	52	1
12	52	1
1	53	1
2	53	1
3	53	1
4	53	1
5	53	1
6	53	1
7	53	1
8	53	1
9	53	1
10	53	1
11	53	1
12	53	1
1	54	1
2	54	1
3	54	1
4	54	1
5	54	1
6	54	1
7	54	1
8	54	1
9	54	1
10	54	1
11	54	1
12	54	1
1	61	1
2	61	1
3	61	1
4	61	1
5	61	1
6	61	1
7	61	1
8	61	1
9	61	1
10	61	1
11	61	1
12	61	1
1	62	1
2	62	1
3	62	1
4	62	1
5	62	1
6	62	1
7	62	1
8	62	1
9	62	1
10	62	1
11	62	1
12	62	1
